"Source path before the run","Source path after the run","Parent of the recipe that made changes","Recipe that made changes","Estimated time saving","Cycle"
"The source path of the file before the run. `null` when a source file was created during the run.","A recipe may modify the source path. This is the path after the run. `null` when a source file was deleted during the run.","In a hierarchical recipe, the parent of the recipe that made a change. Empty if this is the root of a hierarchy or if the recipe is not hierarchical at all.","The specific recipe that made a change.","An estimated effort that a developer to fix manually instead of using this recipe, in unit of seconds.","The recipe cycle in which the change was made."
"pom.xml","pom.xml","org.openrewrite.java.migrate.jacoco.UpgradeJaCoCo","org.openrewrite.maven.UpgradePluginVersion","300","1"
"pom.xml","pom.xml","org.openrewrite.java.migrate.JREWrapperInterface","org.openrewrite.java.migrate.jacoco.UpgradeJaCoCo","300","1"
"pom.xml","pom.xml","org.openrewrite.java.migrate.UpgradeToJava6","org.openrewrite.java.migrate.JREWrapperInterface","300","1"
"pom.xml","pom.xml","org.openrewrite.java.migrate.UpgradeToJava7","org.openrewrite.java.migrate.UpgradeToJava6","300","1"
"pom.xml","pom.xml","org.openrewrite.java.migrate.UpgradeToJava8","org.openrewrite.java.migrate.UpgradeToJava7","300","1"
"pom.xml","pom.xml","org.openrewrite.java.migrate.Java8toJava11","org.openrewrite.java.migrate.UpgradeToJava8","300","1"
"pom.xml","pom.xml","org.openrewrite.java.migrate.UpgradeToJava17","org.openrewrite.java.migrate.Java8toJava11","300","1"
"pom.xml","pom.xml","org.openrewrite.java.migrate.UpgradeToJava21","org.openrewrite.java.migrate.UpgradeToJava17","300","1"
"pom.xml","pom.xml","","org.openrewrite.java.migrate.UpgradeToJava21","300","1"
"pom.xml","pom.xml","org.openrewrite.java.migrate.UpgradeJavaVersion","org.openrewrite.java.migrate.maven.UpdateMavenProjectPropertyJavaVersion","300","1"
"pom.xml","pom.xml","org.openrewrite.java.migrate.UpgradeBuildToJava21","org.openrewrite.java.migrate.UpgradeJavaVersion","300","1"
"pom.xml","pom.xml","org.openrewrite.java.migrate.UpgradeToJava21","org.openrewrite.java.migrate.UpgradeBuildToJava21","300","1"
"pom.xml","pom.xml","","org.openrewrite.java.migrate.UpgradeToJava21","300","1"
"src\main\java\com\enterprise\banking\BankingSystemApplication.java","src\main\java\com\enterprise\banking\BankingSystemApplication.java","org.openrewrite.java.migrate.UpgradeBuildToJava21","org.openrewrite.java.migrate.UpgradeJavaVersion","0","1"
"src\main\java\com\enterprise\banking\BankingSystemApplication.java","src\main\java\com\enterprise\banking\BankingSystemApplication.java","org.openrewrite.java.migrate.UpgradeToJava21","org.openrewrite.java.migrate.UpgradeBuildToJava21","0","1"
"src\main\java\com\enterprise\banking\BankingSystemApplication.java","src\main\java\com\enterprise\banking\BankingSystemApplication.java","","org.openrewrite.java.migrate.UpgradeToJava21","0","1"
"src\main\java\com\enterprise\banking\config\SecurityConfig.java","src\main\java\com\enterprise\banking\config\SecurityConfig.java","org.openrewrite.java.migrate.UpgradeBuildToJava21","org.openrewrite.java.migrate.UpgradeJavaVersion","0","1"
"src\main\java\com\enterprise\banking\config\SecurityConfig.java","src\main\java\com\enterprise\banking\config\SecurityConfig.java","org.openrewrite.java.migrate.UpgradeToJava21","org.openrewrite.java.migrate.UpgradeBuildToJava21","0","1"
"src\main\java\com\enterprise\banking\config\SecurityConfig.java","src\main\java\com\enterprise\banking\config\SecurityConfig.java","","org.openrewrite.java.migrate.UpgradeToJava21","0","1"
"src\main\java\com\enterprise\banking\controller\AccountController.java","src\main\java\com\enterprise\banking\controller\AccountController.java","org.openrewrite.java.migrate.UpgradeBuildToJava21","org.openrewrite.java.migrate.UpgradeJavaVersion","0","1"
"src\main\java\com\enterprise\banking\controller\AccountController.java","src\main\java\com\enterprise\banking\controller\AccountController.java","org.openrewrite.java.migrate.UpgradeToJava21","org.openrewrite.java.migrate.UpgradeBuildToJava21","0","1"
"src\main\java\com\enterprise\banking\controller\AccountController.java","src\main\java\com\enterprise\banking\controller\AccountController.java","","org.openrewrite.java.migrate.UpgradeToJava21","0","1"
"src\main\java\com\enterprise\banking\controller\AtmController.java","src\main\java\com\enterprise\banking\controller\AtmController.java","org.openrewrite.java.migrate.UpgradeBuildToJava21","org.openrewrite.java.migrate.UpgradeJavaVersion","0","1"
"src\main\java\com\enterprise\banking\controller\AtmController.java","src\main\java\com\enterprise\banking\controller\AtmController.java","org.openrewrite.java.migrate.UpgradeToJava21","org.openrewrite.java.migrate.UpgradeBuildToJava21","0","1"
"src\main\java\com\enterprise\banking\controller\AtmController.java","src\main\java\com\enterprise\banking\controller\AtmController.java","","org.openrewrite.java.migrate.UpgradeToJava21","0","1"
"src\main\java\com\enterprise\banking\controller\BankingController.java","src\main\java\com\enterprise\banking\controller\BankingController.java","org.openrewrite.java.migrate.UpgradeBuildToJava21","org.openrewrite.java.migrate.UpgradeJavaVersion","0","1"
"src\main\java\com\enterprise\banking\controller\BankingController.java","src\main\java\com\enterprise\banking\controller\BankingController.java","org.openrewrite.java.migrate.UpgradeToJava21","org.openrewrite.java.migrate.UpgradeBuildToJava21","0","1"
"src\main\java\com\enterprise\banking\controller\BankingController.java","src\main\java\com\enterprise\banking\controller\BankingController.java","","org.openrewrite.java.migrate.UpgradeToJava21","0","1"
"src\main\java\com\enterprise\banking\controller\InventoryController.java","src\main\java\com\enterprise\banking\controller\InventoryController.java","org.openrewrite.java.migrate.UpgradeBuildToJava21","org.openrewrite.java.migrate.UpgradeJavaVersion","0","1"
"src\main\java\com\enterprise\banking\controller\InventoryController.java","src\main\java\com\enterprise\banking\controller\InventoryController.java","org.openrewrite.java.migrate.UpgradeToJava21","org.openrewrite.java.migrate.UpgradeBuildToJava21","0","1"
"src\main\java\com\enterprise\banking\controller\InventoryController.java","src\main\java\com\enterprise\banking\controller\InventoryController.java","","org.openrewrite.java.migrate.UpgradeToJava21","0","1"
"src\main\java\com\enterprise\banking\controller\LibraryController.java","src\main\java\com\enterprise\banking\controller\LibraryController.java","org.openrewrite.java.migrate.UpgradeBuildToJava21","org.openrewrite.java.migrate.UpgradeJavaVersion","0","1"
"src\main\java\com\enterprise\banking\controller\LibraryController.java","src\main\java\com\enterprise\banking\controller\LibraryController.java","org.openrewrite.java.migrate.UpgradeToJava21","org.openrewrite.java.migrate.UpgradeBuildToJava21","0","1"
"src\main\java\com\enterprise\banking\controller\LibraryController.java","src\main\java\com\enterprise\banking\controller\LibraryController.java","","org.openrewrite.java.migrate.UpgradeToJava21","0","1"
"src\main\java\com\enterprise\banking\dto\TransactionRequest.java","src\main\java\com\enterprise\banking\dto\TransactionRequest.java","org.openrewrite.java.migrate.UpgradeBuildToJava21","org.openrewrite.java.migrate.UpgradeJavaVersion","0","1"
"src\main\java\com\enterprise\banking\dto\TransactionRequest.java","src\main\java\com\enterprise\banking\dto\TransactionRequest.java","org.openrewrite.java.migrate.UpgradeToJava21","org.openrewrite.java.migrate.UpgradeBuildToJava21","0","1"
"src\main\java\com\enterprise\banking\dto\TransactionRequest.java","src\main\java\com\enterprise\banking\dto\TransactionRequest.java","","org.openrewrite.java.migrate.UpgradeToJava21","0","1"
"src\main\java\com\enterprise\banking\dto\TransactionResponse.java","src\main\java\com\enterprise\banking\dto\TransactionResponse.java","org.openrewrite.java.migrate.UpgradeBuildToJava21","org.openrewrite.java.migrate.UpgradeJavaVersion","0","1"
"src\main\java\com\enterprise\banking\dto\TransactionResponse.java","src\main\java\com\enterprise\banking\dto\TransactionResponse.java","org.openrewrite.java.migrate.UpgradeToJava21","org.openrewrite.java.migrate.UpgradeBuildToJava21","0","1"
"src\main\java\com\enterprise\banking\dto\TransactionResponse.java","src\main\java\com\enterprise\banking\dto\TransactionResponse.java","","org.openrewrite.java.migrate.UpgradeToJava21","0","1"
"src\main\java\com\enterprise\banking\exception\AccountNotFoundException.java","src\main\java\com\enterprise\banking\exception\AccountNotFoundException.java","org.openrewrite.java.migrate.UpgradeBuildToJava21","org.openrewrite.java.migrate.UpgradeJavaVersion","0","1"
"src\main\java\com\enterprise\banking\exception\AccountNotFoundException.java","src\main\java\com\enterprise\banking\exception\AccountNotFoundException.java","org.openrewrite.java.migrate.UpgradeToJava21","org.openrewrite.java.migrate.UpgradeBuildToJava21","0","1"
"src\main\java\com\enterprise\banking\exception\AccountNotFoundException.java","src\main\java\com\enterprise\banking\exception\AccountNotFoundException.java","","org.openrewrite.java.migrate.UpgradeToJava21","0","1"
"src\main\java\com\enterprise\banking\exception\BankingException.java","src\main\java\com\enterprise\banking\exception\BankingException.java","org.openrewrite.java.migrate.UpgradeBuildToJava21","org.openrewrite.java.migrate.UpgradeJavaVersion","0","1"
"src\main\java\com\enterprise\banking\exception\BankingException.java","src\main\java\com\enterprise\banking\exception\BankingException.java","org.openrewrite.java.migrate.UpgradeToJava21","org.openrewrite.java.migrate.UpgradeBuildToJava21","0","1"
"src\main\java\com\enterprise\banking\exception\BankingException.java","src\main\java\com\enterprise\banking\exception\BankingException.java","","org.openrewrite.java.migrate.UpgradeToJava21","0","1"
"src\main\java\com\enterprise\banking\exception\InsufficientFundsException.java","src\main\java\com\enterprise\banking\exception\InsufficientFundsException.java","org.openrewrite.java.migrate.UpgradeBuildToJava21","org.openrewrite.java.migrate.UpgradeJavaVersion","0","1"
"src\main\java\com\enterprise\banking\exception\InsufficientFundsException.java","src\main\java\com\enterprise\banking\exception\InsufficientFundsException.java","org.openrewrite.java.migrate.UpgradeToJava21","org.openrewrite.java.migrate.UpgradeBuildToJava21","0","1"
"src\main\java\com\enterprise\banking\exception\InsufficientFundsException.java","src\main\java\com\enterprise\banking\exception\InsufficientFundsException.java","","org.openrewrite.java.migrate.UpgradeToJava21","0","1"
"src\main\java\com\enterprise\banking\model\Account.java","src\main\java\com\enterprise\banking\model\Account.java","org.openrewrite.java.migrate.UpgradeBuildToJava21","org.openrewrite.java.migrate.UpgradeJavaVersion","0","1"
"src\main\java\com\enterprise\banking\model\Account.java","src\main\java\com\enterprise\banking\model\Account.java","org.openrewrite.java.migrate.UpgradeToJava21","org.openrewrite.java.migrate.UpgradeBuildToJava21","0","1"
"src\main\java\com\enterprise\banking\model\Account.java","src\main\java\com\enterprise\banking\model\Account.java","","org.openrewrite.java.migrate.UpgradeToJava21","0","1"
"src\main\java\com\enterprise\banking\model\Customer.java","src\main\java\com\enterprise\banking\model\Customer.java","org.openrewrite.java.migrate.UpgradeToJava17","org.openrewrite.java.migrate.lang.StringFormatted","60","1"
"src\main\java\com\enterprise\banking\model\Customer.java","src\main\java\com\enterprise\banking\model\Customer.java","org.openrewrite.java.migrate.UpgradeToJava21","org.openrewrite.java.migrate.UpgradeToJava17","60","1"
"src\main\java\com\enterprise\banking\model\Customer.java","src\main\java\com\enterprise\banking\model\Customer.java","","org.openrewrite.java.migrate.UpgradeToJava21","60","1"
"src\main\java\com\enterprise\banking\model\Customer.java","src\main\java\com\enterprise\banking\model\Customer.java","org.openrewrite.java.migrate.UpgradeBuildToJava21","org.openrewrite.java.migrate.UpgradeJavaVersion","0","1"
"src\main\java\com\enterprise\banking\model\Customer.java","src\main\java\com\enterprise\banking\model\Customer.java","org.openrewrite.java.migrate.UpgradeToJava21","org.openrewrite.java.migrate.UpgradeBuildToJava21","0","1"
"src\main\java\com\enterprise\banking\model\Customer.java","src\main\java\com\enterprise\banking\model\Customer.java","","org.openrewrite.java.migrate.UpgradeToJava21","0","1"
"src\main\java\com\enterprise\banking\model\InventoryItem.java","src\main\java\com\enterprise\banking\model\InventoryItem.java","org.openrewrite.java.migrate.UpgradeBuildToJava21","org.openrewrite.java.migrate.UpgradeJavaVersion","0","1"
"src\main\java\com\enterprise\banking\model\InventoryItem.java","src\main\java\com\enterprise\banking\model\InventoryItem.java","org.openrewrite.java.migrate.UpgradeToJava21","org.openrewrite.java.migrate.UpgradeBuildToJava21","0","1"
"src\main\java\com\enterprise\banking\model\InventoryItem.java","src\main\java\com\enterprise\banking\model\InventoryItem.java","","org.openrewrite.java.migrate.UpgradeToJava21","0","1"
"src\main\java\com\enterprise\banking\model\LibraryBook.java","src\main\java\com\enterprise\banking\model\LibraryBook.java","org.openrewrite.java.migrate.UpgradeBuildToJava21","org.openrewrite.java.migrate.UpgradeJavaVersion","0","1"
"src\main\java\com\enterprise\banking\model\LibraryBook.java","src\main\java\com\enterprise\banking\model\LibraryBook.java","org.openrewrite.java.migrate.UpgradeToJava21","org.openrewrite.java.migrate.UpgradeBuildToJava21","0","1"
"src\main\java\com\enterprise\banking\model\LibraryBook.java","src\main\java\com\enterprise\banking\model\LibraryBook.java","","org.openrewrite.java.migrate.UpgradeToJava21","0","1"
"src\main\java\com\enterprise\banking\model\Transaction.java","src\main\java\com\enterprise\banking\model\Transaction.java","org.openrewrite.java.migrate.UpgradeBuildToJava21","org.openrewrite.java.migrate.UpgradeJavaVersion","0","1"
"src\main\java\com\enterprise\banking\model\Transaction.java","src\main\java\com\enterprise\banking\model\Transaction.java","org.openrewrite.java.migrate.UpgradeToJava21","org.openrewrite.java.migrate.UpgradeBuildToJava21","0","1"
"src\main\java\com\enterprise\banking\model\Transaction.java","src\main\java\com\enterprise\banking\model\Transaction.java","","org.openrewrite.java.migrate.UpgradeToJava21","0","1"
"src\main\java\com\enterprise\banking\model\User.java","src\main\java\com\enterprise\banking\model\User.java","org.openrewrite.java.migrate.UpgradeBuildToJava21","org.openrewrite.java.migrate.UpgradeJavaVersion","0","1"
"src\main\java\com\enterprise\banking\model\User.java","src\main\java\com\enterprise\banking\model\User.java","org.openrewrite.java.migrate.UpgradeToJava21","org.openrewrite.java.migrate.UpgradeBuildToJava21","0","1"
"src\main\java\com\enterprise\banking\model\User.java","src\main\java\com\enterprise\banking\model\User.java","","org.openrewrite.java.migrate.UpgradeToJava21","0","1"
"src\main\java\com\enterprise\banking\pattern\AccountFactory.java","src\main\java\com\enterprise\banking\pattern\AccountFactory.java","org.openrewrite.java.migrate.UpgradeToJava17","org.openrewrite.java.migrate.lang.StringFormatted","60","1"
"src\main\java\com\enterprise\banking\pattern\AccountFactory.java","src\main\java\com\enterprise\banking\pattern\AccountFactory.java","org.openrewrite.java.migrate.UpgradeToJava21","org.openrewrite.java.migrate.UpgradeToJava17","60","1"
"src\main\java\com\enterprise\banking\pattern\AccountFactory.java","src\main\java\com\enterprise\banking\pattern\AccountFactory.java","","org.openrewrite.java.migrate.UpgradeToJava21","60","1"
"src\main\java\com\enterprise\banking\pattern\AccountFactory.java","src\main\java\com\enterprise\banking\pattern\AccountFactory.java","org.openrewrite.java.migrate.UpgradeBuildToJava21","org.openrewrite.java.migrate.UpgradeJavaVersion","0","1"
"src\main\java\com\enterprise\banking\pattern\AccountFactory.java","src\main\java\com\enterprise\banking\pattern\AccountFactory.java","org.openrewrite.java.migrate.UpgradeToJava21","org.openrewrite.java.migrate.UpgradeBuildToJava21","0","1"
"src\main\java\com\enterprise\banking\pattern\AccountFactory.java","src\main\java\com\enterprise\banking\pattern\AccountFactory.java","","org.openrewrite.java.migrate.UpgradeToJava21","0","1"
"src\main\java\com\enterprise\banking\pattern\DatabaseConnectionManager.java","src\main\java\com\enterprise\banking\pattern\DatabaseConnectionManager.java","org.openrewrite.java.migrate.UpgradeBuildToJava21","org.openrewrite.java.migrate.UpgradeJavaVersion","0","1"
"src\main\java\com\enterprise\banking\pattern\DatabaseConnectionManager.java","src\main\java\com\enterprise\banking\pattern\DatabaseConnectionManager.java","org.openrewrite.java.migrate.UpgradeToJava21","org.openrewrite.java.migrate.UpgradeBuildToJava21","0","1"
"src\main\java\com\enterprise\banking\pattern\DatabaseConnectionManager.java","src\main\java\com\enterprise\banking\pattern\DatabaseConnectionManager.java","","org.openrewrite.java.migrate.UpgradeToJava21","0","1"
